T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
151,Eastern Europe,2019,GDP per capita (US dollars),"11,451",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2020,GDP per capita (US dollars),"10,757",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2021,GDP per capita (US dollars),"12,655",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,1995,GDP in constant 2015 prices (millions of US dollars),"1,413,879",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2005,GDP in constant 2015 prices (millions of US dollars),"2,027,502",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2010,GDP in constant 2015 prices (millions of US dollars),"2,392,748",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2015,GDP in constant 2015 prices (millions of US dollars),"2,626,563",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2019,GDP in constant 2015 prices (millions of US dollars),"2,941,145",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2020,GDP in constant 2015 prices (millions of US dollars),"2,853,558",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2021,GDP in constant 2015 prices (millions of US dollars),"3,000,315",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,1995,GDP real rates of growth (percent),-0.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2005,GDP real rates of growth (percent),5.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2010,GDP real rates of growth (percent),3.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2015,GDP real rates of growth (percent),0.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2019,GDP real rates of growth (percent),3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2020,GDP real rates of growth (percent),-3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2021,GDP real rates of growth (percent),5.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,1995,GDP in current prices (millions of US dollars),"2,177,632",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2005,GDP in current prices (millions of US dollars),"4,001,053",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2010,GDP in current prices (millions of US dollars),"4,303,230",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2015,GDP in current prices (millions of US dollars),"4,763,604",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2019,GDP in current prices (millions of US dollars),"4,955,218",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2020,GDP in current prices (millions of US dollars),"4,811,342",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2021,GDP in current prices (millions of US dollars),"5,618,097",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,1995,GDP per capita (US dollars),"23,413",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2005,GDP per capita (US dollars),"41,625",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2010,GDP per capita (US dollars),"43,309",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2015,GDP per capita (US dollars),"46,389",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2019,GDP per capita (US dollars),"47,165",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2020,GDP per capita (US dollars),"45,595",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2021,GDP per capita (US dollars),"53,057",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,1995,GDP in constant 2015 prices (millions of US dollars),"3,049,189",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2005,GDP in constant 2015 prices (millions of US dollars),"4,154,835",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2010,GDP in constant 2015 prices (millions of US dollars),"4,289,380",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2015,GDP in constant 2015 prices (millions of US dollars),"4,763,604",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2019,GDP in constant 2015 prices (millions of US dollars),"5,215,453",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2020,GDP in constant 2015 prices (millions of US dollars),"4,858,908",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2021,GDP in constant 2015 prices (millions of US dollars),"5,198,253",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,1995,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2005,GDP real rates of growth (percent),2.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2010,GDP real rates of growth (percent),2.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2015,GDP real rates of growth (percent),3.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2019,GDP real rates of growth (percent),1.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2020,GDP real rates of growth (percent),-6.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
154,Northern Europe,2021,GDP real rates of growth (percent),7.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
